Station,Longitude,Latitude,Longitude_original,Latitude_original
Drogden,12.7117,55.5358,
Klagshamn,12.892,55.526,12.8936,55.5222
Barseback,12.9033,55.7564,
Dragor,12.6833,55.6,
Flinten7,12.8445,55.5894,
Helsingborg,12.6845,56.0412,
Hornbaek,12.466,56.097,12.4667,56.1
Kobenhavn,12.65,55.7,12.6,55.7
Koege,12.2,55.45,
MalmoHamn,12.9845,55.6257,
Skanor,12.8294,55.4167,
Vedbaek,12.571,55.85,12.5667,55.85
NordreRose,12.6867,55.6361,
